Patient_ID,Data_Quality_Score,Patient_Status,Risk_Level,Record_Count,Source_Count,Study_Count,Issue_Count
Unknown_Study 6 _CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 18_CPID_Input Files - Anonymization - Study 18_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 24_CPID_Input Files - Anonymization - Study 24_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 22_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0 (2)_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 2_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 21_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0 (1) 1_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 10_CPID_Input Files - Anonymization - Study 10_CPID_EDC_Metrics_URSV2.0_14-Nov-2025_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 11_CPID_Input Files - Anonymization - Study 11_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 20__CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_Study 13_CPID_Input Files - Anonymization - Study 13_CPID_EDC_Metrics_URSV2.0_14NOV2025_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
Unknown_STUDY 19_CPID_Input Files - Anonymization - Study 19_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_1,30.8,Critical,High,1,1,1,0
